timeStamp,price
01-08-2025,20650.13
04-08-2025,21053.58
05-08-2025,20916.55
06-08-2025,21169.42
07-08-2025,21242.7
08-08-2025,21450.02
11-08-2025,21385.4
12-08-2025,21681.9
13-08-2025,21713.14
14-08-2025,21710.67
15-08-2025,21622.98
18-08-2025,21629.77
19-08-2025,21314.95
20-08-2025,21172.86
21-08-2025,21100.31
22-08-2025,21496.54
25-08-2025,21449.29
26-08-2025,21544.27
27-08-2025,21590.14
28-08-2025,21705.16
29-08-2025,21455.55
02-09-2025,21279.63
03-09-2025,21497.73
04-09-2025,21707.69
05-09-2025,21700.39
08-09-2025,21798.7
09-09-2025,21879.49
10-09-2025,21886.06
11-09-2025,22043.07
12-09-2025,22141.1
15-09-2025,22348.75
16-09-2025,22333.96
17-09-2025,22261.33
18-09-2025,22470.72
19-09-2025,22631.48
22-09-2025,22788.98
23-09-2025,22573.47
24-09-2025,22497.86
25-09-2025,22384.7
26-09-2025,22484.07
29-09-2025,22591.15
30-09-2025,22660.01
01-10-2025,22755.16
02-10-2025,22844.05
03-10-2025,22780.51
06-10-2025,22941.67
07-10-2025,22788.36
08-10-2025,23043.38
09-10-2025,23024.63
10-10-2025,22204.43
13-10-2025,22694.61
14-10-2025,22521.7
15-10-2025,22670.08
16-10-2025,22562.54
17-10-2025,22679.97
20-10-2025,22990.54
21-10-2025,22953.67
22-10-2025,22740.4
23-10-2025,22941.8
24-10-2025,23204.87
27-10-2025,23637.46
28-10-2025,23827.49
29-10-2025,23958.47
30-10-2025,23581.14
31-10-2025,23724.96
03-11-2025,23834.72
04-11-2025,23348.64
05-11-2025,23499.8
06-11-2025,23053.99
07-11-2025,23004.54
10-11-2025,23527.17
11-11-2025,23468.3
12-11-2025,23406.46
13-11-2025,22870.36
14-11-2025,22900.59
17-11-2025,22708.07
18-11-2025,22432.85
19-11-2025,22564.23
20-11-2025,22078.05
21-11-2025,22273.08
24-11-2025,22872.01
25-11-2025,23025.59
26-11-2025,23214.69
28-11-2025,23365.69
01-12-2025,23275.92
02-12-2025,23413.67
03-12-2025,23454.09
04-12-2025,23505.14
05-12-2025,23578.13
08-12-2025,23545.9
09-12-2025,23576.49
10-12-2025,23654.15
11-12-2025,23593.86
12-12-2025,23195.17
15-12-2025,23057.41
16-12-2025,23111.46
17-12-2025,22693.32
18-12-2025,23006.36
19-12-2025,23307.62
22-12-2025,23428.83
23-12-2025,23561.84
24-12-2025,23613.31
26-12-2025,23593.1
29-12-2025,23474.35
30-12-2025,23419.08
31-12-2025,23241.99
